"","state","overall_homeless","overall_chronically_homeless","sheltered_total_chronically_homeless","year"
"601","SC","4915","528","114","2012"
"602","SD","859","138","125","2012"
"603","TN","9426","2266","1126","2012"
"604","TX","34052","6650","2180","2012"
"605","UT","3527","443","299","2012"
"606","VA","8424","1646","1042","2012"
"607","VT","1160","228","153","2012"
"608","WA","20504","2213","1227","2012"
"609","WI","6027","487","361","2012"
"610","WV","2410","410","215","2012"
"611","WY","1813","452","99","2012"
"612","Total","621553","112037","39560","2012"
"613","AK","2128","253","194","2011"
"614","AL","5558","1114","418","2011"
"615","AR","3424","607","328","2011"
"616","AZ","10504","2283","1028","2011"
"617","CA","125128","34589","7039","2011"
"618","CO","15116","1495","549","2011"
"619","CT","4456","1099","769","2011"
"620","DE","1035","70","59","2011"
"621","FL","56687","11638","3577","2011"
"622","GA","20975","4581","2112","2011"
"623","HI","6188","935","116","2011"
"624","IA","3134","351","284","2011"
"625","ID","2199","308","149","2011"
"626","IL","14009","2563","1483","2011"
"627","IN","6196","602","425","2011"
"628","KS","2511","338","252","2011"
"629","KY","6034","784","577","2011"
"630","LA","9291","4433","165","2011"
"631","MA","16664","2061","1711","2011"
"632","MD","10208","1800","898","2011"
"633","ME","2447","212","202","2011"
"634","MI","13185","1764","1258","2011"
"635","MN","7495","1862","1518","2011"
"636","MO","8989","1418","929","2011"
"637","MS","2306","471","135","2011"
"638","MT","1768","324","149","2011"
"639","NC","12896","1476","916","2011"
"640","ND","603","75","69","2011"
"641","NE","3548","502","409","2011"
"642","NH","1469","226","148","2011"
"643","NJ","14137","955","788","2011"
"644","NM","3601","1117","658","2011"
"645","NV","9150","1353","196","2011"
"646","NY","63445","4208","2070","2011"
"647","OH","13030","2014","1382","2011"
"648","OK","4625","793","418","2011"
"649","OR","17254","3739","916","2011"
"650","PA","15096","1719","1139","2011"
"651","RI","1070","176","171","2011"
"652","SC","5093","645","231","2011"
"653","SD","826","34","21","2011"
"654","TN","9113","1757","904","2011"
"655","TX","36911","8223","3253","2011"
"656","UT","3130","383","284","2011"
"657","VA","8816","1643","1029","2011"
"658","VT","1144","114","87","2011"
"659","WA","20439","2388","1313","2011"
"660","WI","5785","497","425","2011"
"661","WV","2211","299","189","2011"
"662","WY","1038","104","27","2011"
"663","Total","623788","119033","46169","2011"
